"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3002",2.71790749122807,6.88588083333333,14.8494257762016,1.46919387588425e-28,1.82238808364682e-24,53.7852391789521
"10578",2.09287486988597,5.77777282113597,11.6568765452025,3.08509645166067e-21,1.91337681931995e-17,37.5536566111737
"5551",1.2337227368421,6.47398519298246,9.54939642425732,2.77800129271837e-16,8.22479353220781e-13,26.5077923287895
"4818",1.67232812280702,5.82747644736842,9.52674539901168,3.1390378121264e-16,8.22479353220781e-13,26.3893515503744
"54469",-0.713848315789472,7.21591987719298,-9.5166113802747,3.31537952765552e-16,8.22479353220781e-13,26.3363700351833
"54885",-1.0020809122807,4.65692380701754,-9.33841219638097,8.65931755188966e-16,1.79016958189399e-12,25.4056780846799
"84174",0.485476912280704,5.13268752631579,9.29812904480549,1.07550662862093e-15,1.90579774591629e-12,25.1955597729631
"79156",0.690337526315791,6.61941755263158,9.27253543710618,1.23421739769472e-15,1.91365407512566e-12,25.0621191663738
"259307",1.11237107017544,6.02238462280702,9.23086811842419,1.54407683963866e-15,1.99199161966016e-12,24.8449704536723
"7644",-0.624340964912277,4.60178835964912,-9.2235595791788,1.60592681365702e-15,1.99199161966016e-12,24.8068948415923
"1521",0.809505807017546,5.82310378070175,9.19065191912515,1.9164806984114e-15,2.16109332573591e-12,24.635502777971
"79912",-1.29764635087719,7.19690919298246,-9.13426867282645,2.59399674533682e-15,2.68132796909649e-12,24.3420332289686
"924",0.788468350877194,5.17674177192982,9.08621387200062,3.3568081695598e-15,3.20291142578614e-12,24.0921097495744
"92482",-0.88723524561403,6.5432185877193,-9.02772116910465,4.59289057862449e-15,4.06930105266129e-12,23.7881578930426
"256643",-0.910865614035083,5.20810994736842,-9.00491268299851,5.18972356210518e-15,4.29155540429017e-12,23.6697151089142
"257101",0.566159456140353,5.88160518421053,8.98796901231088,5.68258711363846e-15,4.40542565984821e-12,23.5817575140652
"100287896",-0.899226574298246,4.72247511337719,-8.83386205365778,1.29530327785757e-14,9.45114226973252e-12,22.7829837924205
"7040",0.696439350877196,6.21047055263158,8.68355578572365,2.8863578199507e-14,1.98902124437047e-11,22.006217215542
"2935",-0.826776719298244,7.31380860526316,-8.64157284990868,3.60870251081233e-14,2.27627904290823e-11,21.789696881755
"55711",-1.1597668245614,7.24742642982456,-8.63839330954429,3.67023386473433e-14,2.27627904290823e-11,21.773307152618
"148534",-1.19562236842104,5.45062093859649,-8.55527311617029,5.70769810275302e-14,3.37134701269278e-11,21.3452676583651
"121512",-0.833952982456139,4.09197463157895,-8.52629286168667,6.65633660374634e-14,3.75296360149407e-11,21.1962267456121
"55204",-0.743437403508764,8.809963,-8.51144051404467,7.20177032150254e-14,3.85399040437723e-11,21.1198840615417
"6197",-0.894484561403512,8.6474910877193,-8.5048729286031,7.45693080498657e-14,3.85399040437723e-11,21.0861348300932
"51626",-0.598661508771923,5.35467961403509,-8.49427362702323,7.88784402694366e-14,3.91363269240837e-11,21.0316791414533
"8725",-0.582649842105264,6.50323218421053,-8.48525536721343,8.27393743332347e-14,3.94730461242094e-11,20.9853576190116
"286257",0.506659385964918,6.9105485877193,8.42924771996034,1.11301433275946e-13,4.9777666377338e-11,20.6979154957696
"55870",-0.776450578947362,7.2518924122807,-8.42468433757723,1.14021364610909e-13,4.9777666377338e-11,20.6745135366131
"101",0.534343283833331,5.53427009055702,8.420817286938,1.16377968795776e-13,4.9777666377338e-11,20.654684685524
"2885",0.560259140350886,7.49375392105263,8.40939650529925,1.2362459811296e-13,5.11146504997719e-11,20.5961347102386
"22841",-0.921680736842101,6.60309038596491,-8.38567210509047,1.40144652867627e-13,5.60759443280660e-11,20.4745651372576
"49854",-0.900467526315785,7.03768814912281,-8.37602246065545,1.47476468976678e-13,5.71084093214102e-11,20.425139986026
"4665",0.496933245614039,5.74786748245614,8.36575635894856,1.55696051316712e-13,5.71084093214102e-11,20.3725714308183
"286451",-0.622539719298244,6.86622531578947,-8.36066523805339,1.599397732984e-13,5.71084093214102e-11,20.3465072671869
"5881",0.720754684210526,4.66116444736842,8.35924841365345,1.61141109823392e-13,5.71084093214102e-11,20.3392544272125
"79646",-0.769372842105259,7.22591236842105,-8.34985505907848,1.69336081750879e-13,5.83456877232752e-11,20.2911761467958
"5257",-0.945991877192978,6.32367262280702,-8.28512618578872,2.38261814067658e-13,7.98756632890601e-11,19.9602116386549
"1890",0.9308360877193,5.6578795877193,8.27393299343508,2.52739694264868e-13,8.08550265117275e-11,19.9030409518083
"30009",0.506147684210527,4.77597075438597,8.27148138428884,2.56025750046611e-13,8.08550265117275e-11,19.8905214817365
"1265",0.544272315789469,8.36305798245614,8.26801941916703,2.60738556954942e-13,8.08550265117275e-11,19.8728439937029
"2999",1.54945214035088,5.32360931578947,8.22465997788976,3.27608031048011e-13,9.91134150516958e-11,19.6515921768005
"10589",0.569542310175447,7.99145805373684,8.21176983940314,3.50595793194585e-13,1.03542624256801e-10,19.5858714552045
"80267",-1.03257673684211,7.08764401754386,-8.15827233470546,4.6443355605302e-13,1.33972879750736e-10,19.3133844219871
"147991",-0.936060333333326,6.62635860526316,-8.13030644194885,5.37877958461852e-13,1.50219618596656e-10,19.1711187234338
"9022",1.75552064912281,5.46955190350877,8.12780800016276,5.44976042957879e-13,1.50219618596656e-10,19.1584148802123
"56889",-1.24561836842104,8.57547295614035,-8.11183765698035,5.92600272342532e-13,1.59795951698625e-10,19.0772338883189
"6890",1.09468471929825,8.96741013157895,8.09454475637451,6.48842778113612e-13,1.70341486812895e-10,18.9893761933615
"3101",0.681461087719299,5.88746507017544,8.08983354089125,6.65064489161222e-13,1.70341486812895e-10,18.9654489382188
"5140",-0.639114070175435,5.55430089473684,-8.08109607499337,6.96224018688916e-13,1.70341486812895e-10,18.92108276979
"4343",0.631370333333337,6.39174116666667,8.08075345337048,6.97475008688623e-13,1.70341486812895e-10,18.9193432959136
"11054",0.419256982456139,7.15850373684211,8.07996233008581,7.00372124109776e-13,1.70341486812895e-10,18.9153268733976
"54896",0.387328157894744,5.75517453508772,8.05994283895641,7.77800984007388e-13,1.85535450108224e-10,18.8137248513985
"10791",0.608807013210534,5.3783535504386,8.04562642776695,8.38334778816846e-13,1.96201973517814e-10,18.7411073854599
"415117",-1.06535554385965,5.85992768421053,-8.01515258985827,9.83223015286193e-13,2.25849968177962e-10,18.5866481252063
"23780",0.522120350877195,7.13419942105263,7.98253766152102,1.16593957919284e-12,2.62951173460144e-10,18.4215106676018
"23338",0.532728578947366,5.25829983333333,7.96202411966416,1.29775897954281e-12,2.85144771951488e-10,18.3177391229562
"9051",0.636830807017548,4.980966,7.9601781705652,1.31032344414985e-12,2.85144771951488e-10,18.308404627307
"1730",-0.972176122807012,7.39163611403509,-7.95225275600205,1.36565577303445e-12,2.9206196911585e-10,18.2683345705943
"55832",-0.720349192982452,7.11761719298246,-7.94301096267749,1.43311667155052e-12,3.00570376080802e-10,18.2216229199515
"5494",-0.674171491228067,5.82624206140351,-7.94025021789336,1.45390378626638e-12,3.00570376080802e-10,18.2076719408132
"3560",0.989491122807022,7.02806096491228,7.91489660889825,1.65937296378784e-12,3.32046897259145e-10,18.0796145362166
"10859",0.708869375578947,6.46569793799123,7.91485889976396,1.65969909948944e-12,3.32046897259145e-10,18.0794241578516
"22834",-0.91885926315789,6.90512621052632,-7.90042603260359,1.78931908829224e-12,3.52297047161539e-10,18.0065770438241
"51225",0.466759140350883,6.60022604385965,7.89263192036546,1.86344894228181e-12,3.61159698125993e-10,17.9672533115957
"26262",0.315281368421052,6.08118256140351,7.87822142695366,2.00863283006827e-12,3.83308948064106e-10,17.8945767646146
"7391",0.751366561403509,5.01791384210526,7.86063412648992,2.20112456069754e-12,4.1367801592261e-10,17.8059297711092
"26229",0.443292684210529,6.04611774561404,7.85408803240033,2.27735840210566e-12,4.21617218204756e-10,17.7729493105288
"4774",-0.99361528070175,7.23524837719298,-7.82386135185069,2.66480497769089e-12,4.86091778577615e-10,17.6207642471363
"5777",0.500902982456145,7.44147778947368,7.8170044845768,2.76143009478472e-12,4.96417085445068e-10,17.5862650049216
"1657",-0.815328210526312,5.9385928245614,-7.79969990634278,3.02103089066953e-12,5.3532667382664e-10,17.4992390219627
"919",0.963376824561403,5.71542618421053,7.79610152269618,3.07798381584621e-12,5.37736778193751e-10,17.4811495850814
"6688",0.708196035087719,5.03654780701754,7.78510101801262,3.2587886408091e-12,5.61416865286057e-10,17.4258641725108
